"datetime_utc","wxtype","visibility","temperature","wind_speed","wind_direction","wind_gust","pressure","station_name","station_number","lat","lon","report_datetime_utc","datetime_local"
"31/07/2013 12:01:00","8","14000","18.8999996185303","2","315","","1014","PERSHORE","3529","52.1479988098145","-2.03999996185303","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","7","7000","15.1000003814697","3","0","","1014","COLESHILL","3535","52.4799995422363","-1.68900001049042","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","7","14000","17.1000003814697","1","225","","1014","CHURCH LAWFORD","3544","52.3580017089844","-1.33000004291534","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","12","4800","17","6","180","","1014","BEDFORD","3560","52.2249984741211","-0.46399998664856","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","12","4000","16.5","3","180","","1016","WATTISHAM","3590","52.1230010986328","0.961000025272369","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","7","2500","17.5","16","202.5","","1012","MILFORD HAVEN C.B.","3604","51.7080001831055","-5.05499982833862","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","8","1300","18.1000003814697","22","202.5","29","1013","PEMBREY SANDS SAMOS","3605","51.7130012512207","-4.36800003051758","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","","","18.1000003814697","25","225","31","1014","MUMBLES HEAD","3609","51.564998626709","-3.98099994659424","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","7","50000","21.6000003814697","10","225","","1014","FILTON","3628","51.5209999084473","-2.57599997520447","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","1","17000","19.5","14","225","","1014","LITTLE RISSINGTON (ESAWS)","3647","51.8600006103516","-1.69200003147125","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","7","40000","21.2000007629395","9","202.5","","1014","BRIZE NORTON","3649","51.757999420166","-1.57599997520447","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","7","35000","21.8999996185303","15","202.5","","1014","BENSON","3658","51.6199989318848","-1.09700000286102","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","8","30000","19.5","9","225","","1015","HIGH WYCOMBE","3660","51.6800003051758","-0.801999986171722","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","8","25000","20.7999992370605","9","247.5","","1015","NORTHOLT","3672","51.5480003356934","-0.41499999165535","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","8","15000","19.6000003814697","11","225","","1015","ANDREWSFIELD","3684","51.8959999084473","0.453000009059906","31/07/2013 11:00:00","31/07/2013 12:00:00"
"31/07/2013 12:01:00","7","45000","20.7000007629395","","","","1016","SHOEBURYNESS","3693","51.5540008544922","0.829999983310699","31/07/2013 11:00:00","31/07/2013 12:00:00"
